Region,Resource,Zone,Cluster,AnnualSum
17,battery_z17,17,1,0.0
18,battery_z18,18,1,0.0
1,gas-CC_0_z01,1,1,118543.57
2,gas-CC_0_z02,2,1,5.7025485e8
3,gas-CC_0_z03,3,1,5.686796e8
4,gas-CC_0_z04,4,1,256565.2
5,gas-CC_0_z05,5,1,97558.91
6,gas-CC_0_z06,6,1,1.6335662e9
7,gas-CC_0_z07,7,1,2.0018561e9
8,gas-CC_0_z08,8,1,7.8586554e8
9,gas-CC_0_z09,9,1,5.516413e8
10,gas-CC_0_z10,10,1,1.1519881e8
11,gas-CC_0_z11,11,1,5.516665e8
12,gas-CC_0_z12,12,1,2.5400952e9
13,gas-CC_0_z13,13,1,3.074151e8
14,gas-CC_0_z14,14,1,1.557801e8
15,gas-CC_0_z15,15,1,7.9285306e8
16,gas-CC_0_z16,16,1,1.5199215e9
17,gas-CC_0_z17,17,1,6.2876544e8
18,gas-CC_0_z18,18,1,2.3222932e9
1,gas-CT_0_z01,1,1,4399.521
2,gas-CT_0_z02,2,1,4838.512
3,gas-CT_0_z03,3,1,4656.8877
4,gas-CT_0_z04,4,1,4488.68
5,gas-CT_0_z05,5,1,4361.481
6,gas-CT_0_z06,6,1,4908.0146
7,gas-CT_0_z07,7,1,4205.7046
8,gas-CT_0_z08,8,1,4860.4233
9,gas-CT_0_z09,9,1,4177.6084
10,gas-CT_0_z10,10,1,4461.18
11,gas-CT_0_z11,11,1,3887.7827
12,gas-CT_0_z12,12,1,4593.232
13,gas-CT_0_z13,13,1,4388.5063
14,gas-CT_0_z14,14,1,4703.306
15,gas-CT_0_z15,15,1,5051.754
16,gas-CT_0_z16,16,1,5262.4604
17,gas-CT_0_z17,17,1,4354.175
18,gas-CT_0_z18,18,1,5309.269
1,Retro_NGCC_CCS_z1,1,1,2234.4617
2,Retro_NGCC_CCS_z2,2,1,14986.175
4,Retro_NGCC_CCS_z4,4,1,1849.6533
5,Retro_NGCC_CCS_z5,5,1,3543.9336
6,Retro_NGCC_CCS_z6,6,1,6897.194
7,Retro_NGCC_CCS_z7,7,1,7.401304e8
8,Retro_NGCC_CCS_z8,8,1,14378.853
9,Retro_NGCC_CCS_z9,9,1,5659.3213
10,Retro_NGCC_CCS_z10,10,1,3505.5466
11,Retro_NGCC_CCS_z11,11,1,18966.77
12,Retro_NGCC_CCS_z12,12,1,9.344219e8
13,Retro_NGCC_CCS_z13,13,1,2715.092
14,Retro_NGCC_CCS_z14,14,1,1314.1818
15,Retro_NGCC_CCS_z15,15,1,1984.1737
16,Retro_NGCC_CCS_z16,16,1,3412.8428
17,Retro_NGCC_CCS_z17,17,1,3578.3079
18,Retro_NGCC_CCS_z18,18,1,9217.775
