Time_Index,MA_flex_coal_supercritical,MA_old_large_coal_PPA,MA_old_large_coal_PPA_InState,MA_solar_pv,MA_solar_pv_PPA,CT_flex_coal_supercritical,CT_old_large_coal_PPA,CT_old_large_coal_PPA_InState,CT_onshore_wind,CT_solar_pv,ME_flex_coal_supercritical,ME_old_large_coal_PPA,ME_old_large_coal_PPA_InState,ME_onshore_wind,MA_battery,CT_battery,ME_battery
82,0.8,0.8,0.8,0.4502,0.4502,0.8,0.8,0.8,0.383687705,0.4435,0.8,0.8,0.8,0.801250398,1,1,1
83,0.8,0.8,0.8,0.6046,0.6046,0.8,0.8,0.8,0.43698281,0.5641,0.8,0.8,0.8,0.801717401,1,1,1
84,0.8,0.8,0.8,0.6791,0.6791,0.8,0.8,0.8,0.027345492,0.6709,0.8,0.8,0.8,0.240071028,1,1,1
85,0.8,0.8,0.8,0.6728,0.6728,0.8,0.8,0.8,0.000123209,0.6513,0.8,0.8,0.8,0.299450189,1,1,1
86,0.8,0.8,0.8,0.6482,0.6482,0.8,0.8,0.8,5.38E-05,0.6024,0.8,0.8,0.8,0.186628819,1,1,1
87,0.8,0.8,0.8,0.528,0.528,0.8,0.8,0.8,6.64E-05,0.4635,0.8,0.8,0.8,0.105973914,1,1,1
88,0.8,0.8,0.8,0.3343,0.3343,0.8,0.8,0.8,0.002060085,0.305,0.8,0.8,0.8,0.071392164,1,1,1
89,0.8,0.8,0.8,0.028,0.028,0.8,0.8,0.8,5.04E-05,0.0783,0.8,0.8,0.8,0.033698864,1,1,1
90,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.097491965,0,0.8,0.8,0.8,0.225880757,1,1,1
91,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.291266352,0,0.8,0.8,0.8,0.277302444,1,1,1
92,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.210415676,0,0.8,0.8,0.8,0.370590001,1,1,1
93,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.223368809,0,0.8,0.8,0.8,0.342927366,1,1,1
94,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.409326077,0,0.8,0.8,0.8,0.468558729,1,1,1
95,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.685454428,0,0.8,0.8,0.8,0.585748136,1,1,1
96,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.560226202,0,0.8,0.8,0.8,0.687084079,1,1,1
97,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.414616615,0,0.8,0.8,0.8,0.582934856,1,1,1
98,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.492882252,0,0.8,0.8,0.8,0.574557364,1,1,1
99,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.543901205,0,0.8,0.8,0.8,0.535381913,1,1,1
100,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.584094465,0,0.8,0.8,0.8,0.601786137,1,1,1
101,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.575396657,0,0.8,0.8,0.8,0.5711748,1,1,1
102,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.222339511,0,0.8,0.8,0.8,0.524353385,1,1,1
103,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.063489825,0,0.8,0.8,0.8,0.469980359,1,1,1
104,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.034827486,0,0.8,0.8,0.8,0.364646316,1,1,1
105,0.8,0.8,0.8,0.1033,0.1033,0.8,0.8,0.8,0.0359466,0.1154,0.8,0.8,0.8,0.391142845,1,1,1
106,0.8,0.8,0.8,0.2804,0.2804,0.8,0.8,0.8,0.168909371,0.2997,0.8,0.8,0.8,0.372059673,1,1,1
107,0.8,0.8,0.8,0.4372,0.4372,0.8,0.8,0.8,0.119043224,0.4896,0.8,0.8,0.8,0.292032659,1,1,1
108,0.8,0.8,0.8,0.5913,0.5913,0.8,0.8,0.8,0.057592459,0.5795,0.8,0.8,0.8,0.214939833,1,1,1
109,0.8,0.8,0.8,0.5349,0.5349,0.8,0.8,0.8,0.084502511,0.5517,0.8,0.8,0.8,0.320211053,1,1,1
110,0.8,0.8,0.8,0.4854,0.4854,0.8,0.8,0.8,0.249637455,0.4408,0.8,0.8,0.8,0.390997708,1,1,1
111,0.8,0.8,0.8,0.3973,0.3973,0.8,0.8,0.8,0.350143909,0.4072,0.8,0.8,0.8,0.371668875,1,1,1
112,0.8,0.8,0.8,0.2948,0.2948,0.8,0.8,0.8,0.742475271,0.3063,0.8,0.8,0.8,0.564464331,1,1,1
113,0.8,0.8,0.8,0.0897,0.0897,0.8,0.8,0.8,0.870121062,0.1054,0.8,0.8,0.8,0.659781039,1,1,1
114,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.958805382,0,0.8,0.8,0.8,0.668345809,1,1,1
115,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.799080312,0,0.8,0.8,0.8,0.775924802,1,1,1
116,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.399789095,0,0.8,0.8,0.8,0.654665828,1,1,1
117,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.343781441,0,0.8,0.8,0.8,0.754780889,1,1,1
118,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.002315517,0,0.8,0.8,0.8,0.167690724,1,1,1
119,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.094827555,0,0.8,0.8,0.8,0.573313653,1,1,1
120,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.031066958,0,0.8,0.8,0.8,0.43366161,1,1,1
121,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.097598262,0,0.8,0.8,0.8,0.349793971,1,1,1
122,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.058144085,0,0.8,0.8,0.8,0.266512692,1,1,1
123,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.142925054,0,0.8,0.8,0.8,0.180226371,1,1,1
124,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.373674929,0,0.8,0.8,0.8,0.118735507,1,1,1
125,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.434153348,0,0.8,0.8,0.8,0.091907203,1,1,1
126,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.435889482,0,0.8,0.8,0.8,0.070327573,1,1,1
127,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.563583791,0,0.8,0.8,0.8,0.099923894,1,1,1
128,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.845474541,0,0.8,0.8,0.8,0.154476166,1,1,1
129,0.8,0.8,0.8,0.1023,0.1023,0.8,0.8,0.8,0.694941878,0.139,0.8,0.8,0.8,0.193684876,1,1,1
130,0.8,0.8,0.8,0.2939,0.2939,0.8,0.8,0.8,0.832901537,0.4082,0.8,0.8,0.8,0.242370129,1,1,1
131,0.8,0.8,0.8,0.5036,0.5036,0.8,0.8,0.8,0.784772754,0.5689,0.8,0.8,0.8,0.246076912,1,1,1
132,0.8,0.8,0.8,0.62,0.62,0.8,0.8,0.8,0.584573805,0.6386,0.8,0.8,0.8,0.237035424,1,1,1
133,0.8,0.8,0.8,0.5947,0.5947,0.8,0.8,0.8,0.526055634,0.5749,0.8,0.8,0.8,0.226963848,1,1,1
134,0.8,0.8,0.8,0.4261,0.4261,0.8,0.8,0.8,0.535089731,0.557,0.8,0.8,0.8,0.258899093,1,1,1
135,0.8,0.8,0.8,0.3649,0.3649,0.8,0.8,0.8,0.20891723,0.3724,0.8,0.8,0.8,0.195579961,1,1,1
136,0.8,0.8,0.8,0.1992,0.1992,0.8,0.8,0.8,0.3200486,0.1936,0.8,0.8,0.8,0.375185788,1,1,1
137,0.8,0.8,0.8,0.0151,0.0151,0.8,0.8,0.8,0.762181401,0.0704,0.8,0.8,0.8,0.408885181,1,1,1
