Resource,Deg_Celsius,MWth
CT_UTES,39.75,9.753
CT_UTES,40,9.585
CT_UTES,40.25,9.375
CT_UTES,40.5,9.081
CT_UTES,40.75,8.874
CT_UTES,41,8.626
CT_UTES,41.25,8.422
CT_UTES,41.5,8.219
CT_UTES,41.75,7.976
CT_UTES,42,7.692
CT_UTES,42.25,7.494
CT_UTES,42.5,7.214
CT_UTES,42.75,7.06
CT_UTES,43,6.783
CT_UTES,43.25,6.509
CT_UTES,43.5,6.278
CT_UTES,43.75,6.088
CT_UTES,44,5.82
CT_UTES,44.25,5.553
CT_UTES,44.5,5.329
CT_UTES,44.75,5.067
CT_UTES,45,4.807
