Resource,MA_natural_gas_combined_cycle,MA_solar_pv_1,MA_solar_pv_2,CT_natural_gas_combined_cycle,CT_onshore_wind_1,CT_onshore_wind_2,CT_solar_pv_1,CT_solar_pv_2,ME_natural_gas_combined_cycle,ME_onshore_wind_1,ME_onshore_wind_2,MA_battery,CT_battery,ME_battery
Zone,1,1,1,2,2,2,2,2,3,3,3,1,2,3
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.78175865581,-38846.08000000001,-47586.46077002978
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.78175865581,-38846.08000000001,-47586.46077002978
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.78175865581,-38846.08000000001,-47586.46077002978
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.78175865581,-38846.08000000001,-47586.46077002978
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.78175865581,-38846.08000000001,-47586.46077002978
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.78175865581,-38846.08000000001,-47586.46077002978
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.78175865581,-38846.08000000001,-47586.46077002978
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.78175865581,-38846.08000000001,-47586.46077002978
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.78175865579,-38846.08000000001,-47586.46077002978
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.78175865579,-38846.08000000001,-47586.46077002978
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.78175865579,-38846.08000000001,-47586.46077002978
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46792.03893981071,-38846.08000000001,-47586.46077002978
t161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46792.03893981071,-38846.08000000001,-47586.46077002978
t162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46792.03893981071,-38846.08000000001,-47586.46077002978
