Resource,MA_natural_gas_combined_cycle,MA_solar_pv_1,MA_solar_pv_2,CT_natural_gas_combined_cycle,CT_onshore_wind_1,CT_onshore_wind_2,CT_solar_pv_1,CT_solar_pv_2,ME_natural_gas_combined_cycle,ME_onshore_wind_1,ME_onshore_wind_2,MA_battery,CT_battery,ME_battery,Total
t24,164.06322191304935,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,6917.99088884378
t25,967.4742892846953,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,7721.401956215426
t26,1378.8171364089922,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8132.744803339723
t27,1543.3519777136526,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8297.279644644384
t28,1534.210514989767,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8288.138181920498
t29,1188.8903068570708,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,7942.817973787802
t30,134.62659541410176,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,6888.554262344833
t31,0.0,0.0,0.0,4692.951566493693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4944.762094372246
t32,0.0,0.0,0.0,3600.97673936737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3852.787267245924
t33,0.0,0.0,0.0,3407.7107971545192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3659.521325033073
t34,0.0,0.0,0.0,3363.2091135839273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3615.019641462481
t35,0.0,0.0,0.0,3250.055393816623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3501.865921695177
t36,0.0,0.0,2.842170943040401e-14,3283.6883242582535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3535.4988521368073
t37,0.0,0.0,2.842170943040401e-14,3422.208408842541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3674.0189367210946
t38,0.0,0.0,-1.4210854715202004e-14,3501.270410120571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3753.0809379991247
t39,0.0,0.0,-2.842170943040401e-14,3664.750799314702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3916.5613271932557
t40,0.0,0.0,7.105427357601002e-15,3613.9216911380563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3865.73221901661
t41,0.0,0.0,1.7763568394002505e-15,2851.89592817994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3103.7064560584936
