,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t26,8045.547381942621,0.0,-0.0,0,-0.0,0.0,0.0,-59.34108246716232,-17.166195904108598,-7969.040103571349,3319.812074017577,0.0,-0.0,0,-0.0,0.0,0.0,-1037.7484099214876,-6.385181389751504,-2275.678482706338,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1097.08949238865,-10.781014514357095,-1086.3084778742925
t27,7881.01254063796,0.0,-0.0,0,-0.0,0.0,0.0,-11.621618870577777,-17.21381384901581,-7852.177107918365,3319.812074017577,0.0,-0.0,0,-0.0,0.0,0.0,-1070.0737272263698,-6.584076432615085,-2243.1542703585924,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1081.6953460969476,-10.629737416400726,-1071.0656086805466
t28,7890.154003361846,0.0,-0.0,0,-0.0,0.0,0.0,-14.668227621579263,-17.211468048700592,-7858.274307691564,3319.812074017577,0.0,-0.0,0,-0.0,0.0,0.0,-1068.0533948948148,-6.571645492436112,-2245.1870336303264,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1082.721622516394,-10.63982255626448,-1072.0817999601295
t29,8235.474211494542,0.0,-0.0,0,-0.0,0.0,0.0,-116.20037231675258,-17.111540558255733,-8102.1622986195325,3319.812074017577,0.0,-0.0,0,-0.0,0.0,0.0,-999.3620956219398,-6.148993526351003,-2314.3009848692864,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1115.5624679386924,-10.962547031904732,-1104.5999209067875
t30,9289.737922937511,0.0,-0.0,0,-0.0,0.0,0.0,-427.916300323722,-16.81715162615449,-8845.004470987635,3319.812074017577,0.0,-0.0,0,-0.0,0.0,0.0,-789.2475331402056,-4.856175747737734,-2525.708365129634,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1217.1638334639276,-11.960975878416756,-1205.2028575855106
t31,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,799.5402458545811,-27.354343492738707,-10196.550420713456,5128.9776465760615,0.0,-0.0,0,-0.0,0.0,0.0,-2203.4863876578297,-13.557872159118032,-2911.933386759115,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1403.9461418032486,-13.796471333620675,-1390.1496704696278
t32,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,1565.007850642672,-33.720576517529715,-10955.651792476756,6220.952473702384,0.0,-0.0,0,-0.0,0.0,0.0,-3072.6079108100494,-18.905506057669502,-3129.439056834665,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1507.6000601673773,-14.815070459860213,-1492.7849897075168
t33,9468.092523803913,0.0,-0.0,0,-0.0,0.0,0.0,1686.0097478219566,-34.84228523493421,-11119.259986390935,6414.218415915235,0.0,-0.0,0,-0.0,0.0,0.0,-3217.2141656366107,-19.795256558207566,-3177.208993720417,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1531.204417814654,-15.047028676726642,-1516.1573891379273
t34,9554.144424441698,0.0,-0.0,0,-0.0,0.0,0.0,1692.6698194426176,-35.08006093319332,-11211.734182951122,6458.720099485827,0.0,-0.0,0,-0.0,0.0,0.0,-3236.189554290633,-19.91201057810159,-3202.6185346170932,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1543.5197348480156,-15.168050355091731,-1528.351684492924
t35,9567.302943513583,0.0,-0.0,0,-0.0,0.0,0.0,1767.5621000390845,-35.73766385235555,-11299.12737970031,6571.873819253131,0.0,-0.0,0,-0.0,0.0,0.0,-3323.3971519204624,-20.448591818898723,-3228.0280755137696,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1555.835051881378,-15.289072033456831,-1540.5459798479208
t36,9576.168896912626,0.0,-0.0,0,-0.0,0.0,0.0,1742.2483946083316,-35.54911121584495,-11282.868180305113,6538.240888811501,0.0,-0.0,0,-0.0,0.0,0.0,-3296.030893650816,-20.28020946211564,-3221.9297856985672,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1553.7824990424842,-15.268901753729315,-1538.5135972887547
t37,9558.597459859317,0.0,-0.0,0,-0.0,0.0,0.0,1650.274532000029,-34.73720750961957,-11174.134784349728,6399.720804227213,0.0,-0.0,0,-0.0,0.0,0.0,-3188.6628847508105,-19.61958285384663,-3191.4383366225557,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1538.3883527507815,-15.117624655772943,-1523.2707280950087
t38,9529.030909383771,0.0,-0.0,0,-0.0,0.0,0.0,1603.1722715908118,-34.283393789845036,-11097.919787184737,6320.658802949183,0.0,-0.0,0,-0.0,0.0,0.0,-3131.2978601471254,-19.266620532709663,-3170.0943222693472,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1528.1255885563137,-15.01677325713537,-1513.108815299178
t39,9519.884133931362,0.0,-0.0,0,-0.0,0.0,0.0,1491.4576849965629,-33.33362728277205,-10978.008191645153,6157.178413755052,0.0,-0.0,0,-0.0,0.0,0.0,-3003.1628508417275,-18.478216263456805,-3135.5373466498672,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1511.7051658451646,-14.855411019315245,-1496.8497548258492
t40,9476.79800745818,0.0,-0.0,0,-0.0,0.0,0.0,1539.9395157692522,-33.64833177127828,-10983.089191456153,6208.007521931698,0.0,-0.0,0,-0.0,0.0,0.0,-3052.6709580338634,-18.78283561209928,-3136.5537282857345,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1512.7314422646111,-14.865496159179,-1497.8659461054322
t41,9435.035756379422,0.0,-0.0,0,-0.0,0.0,0.0,2087.1375959150864,-38.09757947382374,-11484.075772820686,6970.033284889814,0.0,-0.0,0,-0.0,0.0,0.0,-3667.603281863188,-22.566464083636724,-3279.863538942989,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1580.4656859481015,-15.531115390187017,-1564.9345705579142
t42,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,2833.65725519266,-44.314427864083925,-12213.70734568019,8031.730964589117,0.0,-0.0,0,-0.0,0.0,0.0,-4515.724306665997,-27.784883627384882,-3488.221774295736,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1682.0670514733367,-16.529544236699042,-1665.5375072366373
t43,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,2731.177110705341,-43.45427959675003,-12112.087349460204,7885.705308116024,0.0,-0.0,0,-0.0,0.0,0.0,-4398.876292306422,-27.065927318143594,-3459.7630884914583,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1667.6991816010811,-16.38835227860643,-1651.3108293224745
t44,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,2343.833846973941,-40.23460157690133,-11727.963763748654,7333.547394432396,0.0,-0.0,0,-0.0,0.0,0.0,-3959.1929311832346,-24.360591431346553,-3349.9938718178164,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1615.3590842092933,-15.874010145554783,-1599.4850740637382
t45,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,1786.3610024314507,-35.57453647113678,-11175.150984311927,6536.644603620151,0.0,-0.0,0,-0.0,0.0,0.0,-3324.7493551822326,-20.45691181536383,-3191.4383366225557,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1538.388352750782,-15.117624655772948,-1523.2707280950087
t46,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,966.5693503308137,-28.742854130392846,-10362.191014552034,5367.521406726528,0.0,-0.0,0,-0.0,0.0,0.0,-2393.0935733618926,-14.724509719769497,-2959.703323644867,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1426.524223031079,-14.01834441062335,-1412.5058786204552
