Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-81.30794949459859,-83.96392900816531
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9390805633402568,-0.934432079225618,-0.9316834067969377
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28866.005796897643,0.16763728312007037,-0.9316834067969377
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31600.830457479413,32852.08081516163,32852.08081516163
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32852.08081516163,32852.08081516163,32852.08081516163
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32852.08081516163,32852.08081516163,32852.08081516163
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32852.08081516163,31455.971649802806,32852.08081516163
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32852.08081516163,31455.971649802806,32852.08081516163
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.34041610447811,-83.96392900816531
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.34041610447811,-83.96392900816531
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-83.96392900816531
t146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459857,-83.96392900816531
t167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459857,-83.96392900816531
t168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-81.30794949459857,-0.9316834067969376
t169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757813,0.16763728312007023,-0.9316834067969378
t170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757813,0.16763728312007023,-0.9316834067969378
t171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757813,0.16763728312007023,-0.9316834067969378
t172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757813,0.16763728312007023,-0.9316834067969378
t173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757813,0.16763728312007023,-0.9316834067969378
t174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
t185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960552,-81.30794949459857,-83.96392900816528
