Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Total
t1458,0.0,25413.0544906138,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,403.279891677401,480.0,0.0,5600.43118770881,2890.0000000000005,0.0,37146.76557000001
t1459,0.0,25413.0544906138,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,259.8469485784565,480.0,0.0,5145.475590807752,2890.0000000000005,0.0,36548.37703
t1460,0.0,25413.0544906138,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,261.7121720157709,480.0,0.0,4266.442427370432,2890.0000000000005,0.0,35671.209090000004
t1461,0.0,25413.0544906138,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,769.482714222355,480.0,0.0,2483.4461951638496,2890.0000000000005,0.0,34395.983400000005
t1462,0.0,25413.0544906138,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,583.3596397391473,480.0,0.0,848.8806996470544,2890.0000000000005,0.0,32575.294830000003
t1463,0.0,25413.0544906138,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,401.1814299035747,206.77815948262435,0.0,0.0,2890.0000000000005,0.0,31271.014079999997
t1464,0.0,24740.064819373743,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,456.3603406262541,0.0,0.0,0.0,2890.0000000000005,0.0,30446.42516
t1465,0.0,23612.659203604213,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,748.0112463957888,0.0,0.0,0.0,2890.0000000000005,0.0,29610.67045
t1466,0.0,22502.763274526784,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,1623.2622354732157,0.0,0.0,0.0,2890.0000000000005,0.0,29376.02551
t1467,0.0,22501.956066102648,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,1580.908513897354,0.0,0.0,0.0,2890.0000000000005,0.0,29332.86458
t1468,0.0,23271.17205236308,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,1237.895917636921,0.0,0.0,0.0,2890.0000000000005,0.0,29759.06797
t1469,0.0,24131.026685911656,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,1298.541674088341,0.0,0.0,0.0,2890.0000000000005,0.0,30679.568359999997
t1470,0.0,25413.0544906138,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,1369.5521571071095,29.897952279092976,0.0,0.0,2890.0000000000005,0.0,32062.504600000004
t1471,0.0,25413.0544906138,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,2443.0791492243975,138.6230201618055,0.0,0.0,2890.0000000000005,0.0,33244.75666000001
t1472,0.0,25413.0544906138,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,1750.699935699052,480.0,0.0,1518.8899236871514,2890.0000000000005,0.0,34412.64435
