Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Total
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51546.551846937014,60782.236096957604,0.0,0.0,0.0,0.0,0.0,112328.78794389463
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45705.60970529623,61639.27114089642,0.0,0.0,0.0,0.0,0.0,107344.88084619265
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31396.4829891537,61238.59353141649,0.0,0.0,0.0,0.0,0.0,92635.07652057019
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11384.442787127671,52854.25989516941,0.0,0.0,0.0,0.0,0.0,64238.70268229708
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56043.108760553994,0.0,0.0,0.0,0.0,0.0,56043.108760553994
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61717.41545834226,0.0,0.0,0.0,0.0,0.0,61717.41545834226
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51345.63003458631,0.0,0.0,0.0,0.0,0.0,51345.63003458631
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59953.87655465723,0.0,0.0,0.0,0.0,0.0,59953.87655465723
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59589.193070844616,0.0,0.0,0.0,0.0,0.0,59589.193070844616
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61296.13324574188,0.0,0.0,0.0,0.0,0.0,61296.13324574188
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60810.882857394725,0.0,0.0,0.0,0.0,0.0,60810.882857394725
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62068.892382353304,0.0,0.0,0.0,0.0,0.0,62068.892382353304
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61637.63106178201,0.0,0.0,0.0,0.0,0.0,61637.63106178201
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56637.69469261269,0.0,0.0,0.0,0.0,0.0,56637.69469261269
