File,ID,Resource,Zone,Lower_bound,Upper_bound,Parameter,Group,p_steps,total_num_trajectory,num_trajectory,len_design_mat,policy
Generators_data,19,USA_Single_netl_ngcc_0.0,1,-20,20,Inv_Cost_per_MWyr,ng,80,,,,
Generators_data,20,USA_Single_netl_ngcc_ccs_0.0,1,0,0,Inv_Cost_per_MWyr,ng_e,0,,,,
Generators_data,21,USA_Single_naturalgas_ccs100_mid_0.0,1,0,0,Inv_Cost_per_MWyr,ng_e,0,,,,
Generators_data,22,USA_Single_landbasedwind_ltrg1_low_40_1.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,23,USA_Single_landbasedwind_ltrg1_low_40_2.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,24,USA_Single_landbasedwind_ltrg1_low_40_3.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,25,USA_Single_landbasedwind_ltrg1_low_40_4.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,26,USA_Single_landbasedwind_ltrg1_low_40_5.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,27,USA_Single_landbasedwind_ltrg1_low_40_6.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,28,USA_Single_landbasedwind_ltrg1_low_40_7.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,29,USA_Single_landbasedwind_ltrg1_low_40_8.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,30,USA_Single_landbasedwind_ltrg1_low_40_9.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,31,USA_Single_landbasedwind_ltrg1_low_40_10.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,32,USA_Single_landbasedwind_ltrg1_low_40_11.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,33,USA_Single_landbasedwind_ltrg1_low_40_12.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,34,USA_Single_landbasedwind_ltrg1_low_40_13.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,35,USA_Single_landbasedwind_ltrg1_low_40_14.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,36,USA_Single_landbasedwind_ltrg1_low_40_15.0,1,-20,20,Inv_Cost_per_MWyr,wnd,80,,,,
Generators_data,37,USA_Single_utilitypv_losangeles_low_0_2_1.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,38,USA_Single_utilitypv_losangeles_low_0_2_2.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,39,USA_Single_utilitypv_losangeles_low_0_2_3.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,40,USA_Single_utilitypv_losangeles_low_0_2_4.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,41,USA_Single_utilitypv_losangeles_low_0_2_5.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,42,USA_Single_utilitypv_losangeles_low_0_2_6.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,43,USA_Single_utilitypv_losangeles_low_0_2_7.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,44,USA_Single_utilitypv_losangeles_low_0_2_8.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,45,USA_Single_utilitypv_losangeles_low_0_2_9.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,46,USA_Single_utilitypv_losangeles_low_0_2_10.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,47,USA_Single_utilitypv_losangeles_low_0_2_11.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,48,USA_Single_utilitypv_losangeles_low_0_2_12.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,49,USA_Single_utilitypv_losangeles_low_0_2_13.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,50,USA_Single_utilitypv_losangeles_low_0_2_14.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,51,USA_Single_utilitypv_losangeles_low_0_2_15.0,1,-20,20,Inv_Cost_per_MWyr,pv,80,,,,
Generators_data,52,USA_Single_ev_load_shifting_1.0,1,0,0,Inv_Cost_per_MWyr,ev_e,0,,,,
Fleccs_data,53,NGCT,1,-20,20,Inv_Cost_per_Unityr,NGCT,80,,,,
Fleccs_data,54,NGST,1,-20,20,Inv_Cost_per_Unityr,NGST,80,,,,
Fleccs_data,55,PCC,1,-20,20,Inv_Cost_per_Unityr,PCC,80,,,,
Fleccs_data,56,Compressor,1,-20,20,Inv_Cost_per_Unityr,Compressor,80,,,,
Fleccs_data,57,Hot,1,-20,20,Inv_Cost_per_Unityr,Hot,80,,,,
Fleccs_data,58,Cold,1,-20,20,Inv_Cost_per_Unityr,Cold,80,,,,
Fleccs_data,59,HeatPump,1,-20,20,Inv_Cost_per_Unityr,HeatPump,80,,,,
Fleccs_data,60,Heater,1,-20,20,Inv_Cost_per_Unityr,Heater,80,,,,
Fleccs_data,61,BOP,1,-20,20,Inv_Cost_per_Unityr,BOP,80,,,,
