Time_Index,NG,west_north_central_naturalgas_ccs90,None,west_north_central_naturalgas_ccs100,west_north_central_uranium
402,3.23,4.32,0,4.45,0.66
403,3.23,4.32,0,4.45,0.66
404,3.23,4.32,0,4.45,0.66
405,3.23,4.32,0,4.45,0.66
406,3.23,4.32,0,4.45,0.66
407,3.23,4.32,0,4.45,0.66
408,3.23,4.32,0,4.45,0.66
409,3.23,4.32,0,4.45,0.66
410,3.23,4.32,0,4.45,0.66
411,3.23,4.32,0,4.45,0.66
412,3.23,4.32,0,4.45,0.66
413,3.23,4.32,0,4.45,0.66
414,3.23,4.32,0,4.45,0.66
415,3.23,4.32,0,4.45,0.66
416,3.23,4.32,0,4.45,0.66
417,3.23,4.32,0,4.45,0.66
418,3.23,4.32,0,4.45,0.66
419,3.23,4.32,0,4.45,0.66
420,3.23,4.32,0,4.45,0.66
421,3.23,4.32,0,4.45,0.66
422,3.23,4.32,0,4.45,0.66
423,3.23,4.32,0,4.45,0.66
424,3.23,4.32,0,4.45,0.66
425,3.23,4.32,0,4.45,0.66
426,3.23,4.32,0,4.45,0.66
427,3.23,4.32,0,4.45,0.66
428,3.23,4.32,0,4.45,0.66
429,3.23,4.32,0,4.45,0.66
430,3.23,4.32,0,4.45,0.66
431,3.23,4.32,0,4.45,0.66
432,3.23,4.32,0,4.45,0.66
433,3.23,4.32,0,4.45,0.66
434,3.23,4.32,0,4.45,0.66
435,3.23,4.32,0,4.45,0.66
436,3.23,4.32,0,4.45,0.66
437,3.23,4.32,0,4.45,0.66
438,3.23,4.32,0,4.45,0.66
439,3.23,4.32,0,4.45,0.66
440,3.23,4.32,0,4.45,0.66
441,3.23,4.32,0,4.45,0.66
442,3.23,4.32,0,4.45,0.66
443,3.23,4.32,0,4.45,0.66
444,3.23,4.32,0,4.45,0.66
445,3.23,4.32,0,4.45,0.66
446,3.23,4.32,0,4.45,0.66
447,3.23,4.32,0,4.45,0.66
448,3.23,4.32,0,4.45,0.66
449,3.23,4.32,0,4.45,0.66
450,3.23,4.32,0,4.45,0.66
451,3.23,4.32,0,4.45,0.66
452,3.23,4.32,0,4.45,0.66
453,3.23,4.32,0,4.45,0.66
454,3.23,4.32,0,4.45,0.66
455,3.23,4.32,0,4.45,0.66
456,3.23,4.32,0,4.45,0.66
457,3.23,4.32,0,4.45,0.66
458,3.23,4.32,0,4.45,0.66
459,3.23,4.32,0,4.45,0.66
460,3.23,4.32,0,4.45,0.66
461,3.23,4.32,0,4.45,0.66
462,3.23,4.32,0,4.45,0.66
463,3.23,4.32,0,4.45,0.66
464,3.23,4.32,0,4.45,0.66
465,3.23,4.32,0,4.45,0.66
466,3.23,4.32,0,4.45,0.66
467,3.23,4.32,0,4.45,0.66
468,3.23,4.32,0,4.45,0.66
469,3.23,4.32,0,4.45,0.66
470,3.23,4.32,0,4.45,0.66
471,3.23,4.32,0,4.45,0.66
472,3.23,4.32,0,4.45,0.66
473,3.23,4.32,0,4.45,0.66
474,3.23,4.32,0,4.45,0.66
475,3.23,4.32,0,4.45,0.66
476,3.23,4.32,0,4.45,0.66
477,3.23,4.32,0,4.45,0.66
478,3.23,4.32,0,4.45,0.66
479,3.23,4.32,0,4.45,0.66
480,3.23,4.32,0,4.45,0.66
481,3.23,4.32,0,4.45,0.66
482,3.23,4.32,0,4.45,0.66
483,3.23,4.32,0,4.45,0.66
484,3.23,4.32,0,4.45,0.66
485,3.23,4.32,0,4.45,0.66
486,3.23,4.32,0,4.45,0.66
487,3.23,4.32,0,4.45,0.66
488,3.23,4.32,0,4.45,0.66
489,3.23,4.32,0,4.45,0.66
490,3.23,4.32,0,4.45,0.66
491,3.23,4.32,0,4.45,0.66
492,3.23,4.32,0,4.45,0.66
493,3.23,4.32,0,4.45,0.66
494,3.23,4.32,0,4.45,0.66
495,3.23,4.32,0,4.45,0.66
496,3.23,4.32,0,4.45,0.66
497,3.23,4.32,0,4.45,0.66
498,3.23,4.32,0,4.45,0.66
499,3.23,4.32,0,4.45,0.66
500,3.23,4.32,0,4.45,0.66
501,3.23,4.32,0,4.45,0.66
502,3.23,4.32,0,4.45,0.66
503,3.23,4.32,0,4.45,0.66
504,3.23,4.32,0,4.45,0.66
505,3.23,4.32,0,4.45,0.66
506,3.23,4.32,0,4.45,0.66
507,3.23,4.32,0,4.45,0.66
508,3.23,4.32,0,4.45,0.66
509,3.23,4.32,0,4.45,0.66
510,3.23,4.32,0,4.45,0.66
511,3.23,4.32,0,4.45,0.66
512,3.23,4.32,0,4.45,0.66
513,3.23,4.32,0,4.45,0.66
514,3.23,4.32,0,4.45,0.66
515,3.23,4.32,0,4.45,0.66
