region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,CapRes_1,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,ESR_1,ESR_2,MinCapTag_1,MinCapTag_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,CO2_Capture_Rate,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,NACC_Eff,NACC_Peak_to_Base,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,Hydro_level,LDS
USA_Single,USA_Single_naturalgas_ccs100_mid_0.0,naturalgas_ccs100_mid,1,21,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1,0,-1,-1,0,-1,0,0,0,2346288.812,165797,37492,0,0,0,6.34,0,0,0,106,0,7.89,0,0,west_north_central_naturalgas_ccs100,0.6,0,1,1,1,0,0,0,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_1.0,landbasedwind_ltrg1_low_40,1,22,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1223.515875,-1,0,-1,0,0,0,835157.055,59288,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8.365,53011.311,0,0,28.205,61852.576,5701.939,0,0
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_2.0,landbasedwind_ltrg1_low_40,1,23,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1366.613104,-1,0,-1,0,0,0,835157.055,61869,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11.111,70410.407,0,0,67.197,147362.144,8282.503,0,0
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_3.0,landbasedwind_ltrg1_low_40,1,24,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2625.539565,-1,0,-1,0,0,0,835157.055,61765,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8.503,53884.778,0,0,50.549,110853.518,8178.059,0,0
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_4.0,landbasedwind_ltrg1_low_40,1,25,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,3131.064158,-1,0,-1,0,0,0,835157.055,64886,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19.761,125227.478,0,0,46.691,102393.185,11299.032,0,0
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_5.0,landbasedwind_ltrg1_low_40,1,26,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2293.979931,-1,0,-1,0,0,0,835157.055,64638,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16.632,105397.618,0,0,82.029,179889.378,11051.136,0,0
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_6.0,landbasedwind_ltrg1_low_40,1,27,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,314.8717681,-1,0,-1,0,0,0,835157.055,76040,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,23.56,149297.185,0,0,138.165,302996.284,22453.042,0,0
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_7.0,landbasedwind_ltrg1_low_40,1,28,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1707.073904,-1,0,-1,0,0,0,835157.055,67678,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14.076,89197.711,0,0,134.705,295407.407,14091.097,0,0
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_8.0,landbasedwind_ltrg1_low_40,1,29,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,3298.633087,-1,0,-1,0,0,0,835157.055,65614,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,15.341,97217.342,0,0,99.232,217616.686,12027.945,0,0
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_9.0,landbasedwind_ltrg1_low_40,1,30,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,8374.681443,-1,0,-1,0,0,0,835157.055,67597,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,15.513,98305.997,0,0,83.866,183919.228,14010.342,0,0
USA_Single,USA_Single_landbasedwind_ltrg1_low_40_10.0,landbasedwind_ltrg1_low_40,1,31,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1896.003724,-1,0,-1,0,0,0,835157.055,61519,30119,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13.444,85192.701,0,0,34.022,74610.254,7932.618,0,0
