Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_natural_gas_H2_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4482.579518348158,441.3323512888769,685.8483502573632
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2759.603976745506,20.4909898821658,443.67306784909033
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.839277546634,0.0,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4303.30733350388,233.87130346328487,21.878192825620957
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2457.887833660476,0.0,378.8242487037396
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.12066875687754
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.95235048854767,223.55991500494943,450.12066875687754
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3212.222649903566,313.19753135187284,991.7338622136365
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5955.534047292463,883.7434213557709,1219.6399280070377
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10363.374963831806,1454.2893113596685,1761.2531214637968
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14464.322620717187,2024.8352013635667,1761.2531214637968
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14464.322620717187,2024.8352013635667,1761.2531214637968
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13415.907583145892,1350.7497925687912,1761.2531214637968
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11667.221800392419,676.6643837740158,1761.2531214637968
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7035.292012910404,2.5789749792404226,1761.2531214637968
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7035.292012910404,2.5789749792404226,1761.2531214637968
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5406.233940375944,2.5789749792404226,1761.2531214637968
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2701.6521819047994,2.5789749792404226,1761.2531214637968
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511.2463336223168,2.5789749792404226,1279.8043323647423
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.0104267732213,2.5789749792404226,639.9021661823712
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.0104267732213,401.58354000673717,639.9021661823712
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2787.853933376946,972.1294300106351,639.9021661823712
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5046.012638139061,1542.675320014533,639.9021661823712
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5380.24535498603,2024.8352013635667,639.9021661823712
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5380.24535498603,2024.8352013635667,639.9021661823712
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4455.6046511539535,1483.247850730539,0.0
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4455.6046511539535,1446.1270140250197,418.5540158828475
