Zone,1,2,3,Total
t70,79.06150811510135,0.0,0.0,79.06150811510135
t71,69.2482301532205,0.0,0.0,69.2482301532205
t72,37.00078579786743,0.0,0.0,37.00078579786743
t73,37.00078579786743,0.0,0.0,37.00078579786743
t74,37.00078579786743,0.0,0.0,37.00078579786743
t75,79.06150811510135,0.0,0.0,79.06150811510135
t76,28.46214292143648,0.0,0.0,28.46214292143648
t77,1.5978195775635529,0.0,0.0,1.5978195775635529
t78,1.5978195775635529,0.0,0.0,1.5978195775635529
t79,3.4141443965033176,0.0,0.0,3.4141443965033176
t80,1.5978195775635529,0.0,0.0,1.5978195775635529
t81,3.4141443965033176,0.0,0.0,3.4141443965033176
t82,2.1850524137621234,0.0,0.0,2.1850524137621234
t83,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0
t90,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,0.0
t103,0.0,0.0,0.0,0.0
t104,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0
t108,0.0,0.0,0.0,0.0
t109,0.0,0.0,0.0,0.0
t110,0.0,0.0,0.0,0.0
t111,0.0,0.0,0.0,0.0
t112,0.0,0.0,0.0,0.0
t113,0.0,0.0,0.0,0.0
t114,0.0,0.0,0.0,0.0
t115,0.0,0.0,0.0,0.0
t116,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0
t118,0.0,0.0,0.0,0.0
t119,0.0,0.0,0.0,0.0
t120,0.0,0.0,0.0,0.0
t121,0.0,0.0,0.0,0.0
t122,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0
t125,0.0,0.0,0.0,0.0
t126,0.0,0.0,0.0,0.0
t127,3.8919008511566533,0.0,0.0,3.8919008511566533
t128,44.065700926578174,0.0,0.0,44.065700926578174
t129,45.057882261710205,0.0,0.0,45.057882261710205
