region,Resource,technology,cluster,Zone,Num_VRE_Bins,LDS,Min_Share,Max_Share,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,spur_miles,spur_capex,spur_inv_mwyr,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,regional_cost_multiplier,cap_recovery_years,wacc_real,ids,MISO_CleanPower,NY_CleanPower,PJM_CleanPower,SERC_CleanPower,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,Can_Retire
EIC,EIC_offshorewind_class3_moderate_fixed_1_3,OffShoreWind_Class3_Moderate_fixed_1,3,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,13128.8,0.0,0.0,1.732074611e6,159265,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63954.316,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.4497402310371399,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_1_4,OffShoreWind_Class3_Moderate_fixed_1,4,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,13640.7,0.0,0.0,1.732074611e6,166731,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71420.838,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.407358318567276,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_1_5,OffShoreWind_Class3_Moderate_fixed_1,5,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,3359.9,0.0,0.0,1.732074611e6,175057,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79746.124,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.4192381799221039,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_1_6,OffShoreWind_Class3_Moderate_fixed_1,6,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,5071.3,0.0,0.0,1.732074611e6,181503,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86192.183,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.3977007269859314,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_1_7,OffShoreWind_Class3_Moderate_fixed_1,7,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,7870.6,0.0,0.0,1.732074611e6,180735,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85424.316,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.3208464980125427,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_1_8,OffShoreWind_Class3_Moderate_fixed_1,8,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,10094.9,0.0,0.0,1.732074611e6,180960,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85649.421,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.3184568285942077,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_1_9,OffShoreWind_Class3_Moderate_fixed_1,9,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,3703.8,0.0,0.0,1.732074611e6,184780,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89469.27,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.3216687142848968,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_0_0,OffShoreWind_Class3_Moderate_fixed_0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,64449.8,0.0,0.0,1.732074611e6,165037,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69726.888,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.5009316205978394,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_0_1,OffShoreWind_Class3_Moderate_fixed_0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,89888.7,0.0,0.0,1.732074611e6,153886,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58575.807,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.4567139148712158,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_0_2,OffShoreWind_Class3_Moderate_fixed_0,2,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,161829.1,0.0,0.0,1.732074611e6,158855,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63544.177,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.4474430382251739,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_0_3,OffShoreWind_Class3_Moderate_fixed_0,3,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,19450.7,0.0,0.0,1.732074611e6,164876,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69565.619,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.4916880428791046,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_0_4,OffShoreWind_Class3_Moderate_fixed_0,4,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,133705.6,0.0,0.0,1.732074611e6,167834,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72523.413,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.3669571876525879,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_0_5,OffShoreWind_Class3_Moderate_fixed_0,5,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,45246.5,0.0,0.0,1.732074611e6,162385,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67074.253,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.4352793395519256,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_0_6,OffShoreWind_Class3_Moderate_fixed_0,6,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,119450.5,0.0,0.0,1.732074611e6,166780,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71469.541,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.3163304030895233,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_0_7,OffShoreWind_Class3_Moderate_fixed_0,7,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,67776.1,0.0,0.0,1.732074611e6,156712,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61401.271,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.2963902056217193,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_0_8,OffShoreWind_Class3_Moderate_fixed_0,8,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,107060.4,0.0,0.0,1.732074611e6,158458,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63147.691,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.2602111995220184,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_0_9,OffShoreWind_Class3_Moderate_fixed_0,9,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,82288.0,0.0,0.0,1.732074611e6,163907,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68596.769,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.2950902283191681,0,0,0,0,0,0,0,0,1
