Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR,Total
t12,1272.9439139415044,23135.05428688056,843.2692065534138,0.0,381.5999999999999,0.0,2360.0,20.0,25.344,1848.8264938,480.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,44532.83823
t13,1434.35255432409,23135.05428688056,2255.391445130823,0.0,1060.0,0.0,2360.0,20.0,25.979999999999997,1363.74293484,480.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,46300.32154999999
t14,1434.35255432409,23135.05428688056,2687.771664657601,0.0,1060.0,0.0,2360.0,20.0,26.064,1332.56972992,480.0,0.0,746.7672553932267,1670.8003288245234,0.0,0.0,12495.000000000002,47448.37982
t15,1434.35255432409,23135.05428688056,2717.7425843308156,0.0,1060.0,0.0,2360.0,20.0,23.368000000000002,1219.1488452,480.0,0.0,1325.4121804400056,1670.8003288245234,0.0,0.0,12495.000000000002,47940.87878
t16,1434.35255432409,23135.05428688056,2829.195908890819,0.0,1060.0,0.0,2360.0,20.0,19.144000000000002,1136.87781064,480.0,0.0,1325.4121804400056,1670.8003288245234,0.0,0.0,12495.000000000002,47965.837069999994
t17,1434.35255432409,23135.05428688056,2855.6027081208194,0.0,1060.0,0.0,2360.0,20.0,13.784,1693.399422,480.0,0.0,133.73215985000206,1670.8003288245234,0.0,0.0,12495.000000000002,47351.72545999999
t18,1434.35255432409,23135.05428688056,1424.3077398599296,0.0,1049.4,0.0,2360.0,20.0,6.824,1510.20426128,480.0,0.0,453.52984883088857,1670.8003288245234,0.0,0.0,12495.000000000002,46039.47301999999
t19,1075.7644157430675,23066.847299761583,561.2495659240001,0.0,371.0,0.0,2360.0,20.0,3.008,1913.3530415999999,187.4899181468204,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,43724.51257
t20,717.176277162045,22439.43187767891,198.09470481452243,0.0,212.0,0.0,2360.0,20.0,4.608,1726.38761152,0.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,41843.4988
t21,932.3291603106586,19562.405216704814,0.0,0.0,0.0,0.0,2360.0,20.0,0.0,1624.57568416,0.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,38665.11039
t22,14.343525543240897,14216.877637752234,0.0,0.0,0.0,0.0,2360.0,20.0,0.0,3665.1179078800005,0.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,34442.1394
t23,5.163669195566723,11330.711808699905,0.0,0.0,0.0,0.0,2360.0,20.0,0.0,2803.87435328,0.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,30685.55016
t24,0.0,9005.969662295476,0.0,0.0,0.0,0.0,2360.0,20.0,0.0,2035.1148188799998,0.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,27586.884810000003
t25,0.0,8481.864973635478,0.0,0.0,0.0,0.0,2360.0,13.0,0.0,1947.3710370400001,0.0,0.0,0.0,1069.5809494298094,0.0,0.0,12495.000000000002,26366.81696010529
t26,0.0,8481.864973635478,0.0,0.0,0.0,0.0,2360.0,13.0,0.0,707.3595998176315,0.0,0.0,293.0111664785408,1055.6045240298092,0.0,0.0,12495.000000000002,25405.84026396146
t27,0.0,8481.864973635478,0.0,0.0,0.0,0.0,2360.0,13.0,0.0,592.738835774715,0.0,0.0,0.0,1048.5273210298092,0.0,0.0,12495.000000000002,24991.131130440004
t28,0.0,8481.864973635478,0.0,0.0,0.0,0.0,2360.0,13.0,0.0,899.0269068747148,0.0,0.0,0.0,1051.6211399298093,0.0,0.0,12495.000000000002,25300.513020440005
t29,0.0,8481.864973635478,0.0,0.0,0.0,0.0,2360.0,13.0,0.0,1824.4955872,0.0,0.0,144.57299233735858,1063.8899749298093,0.0,0.0,12495.000000000002,26382.823528102646
t30,0.0,8902.339357535478,0.0,0.0,0.0,0.0,2360.0,20.0,6.356000000000001,1737.94270364,0.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,27192.438390000003
t31,917.9856347674177,11712.54466124806,0.0,0.0,0.0,0.0,2360.0,20.0,3.5599999999999996,916.16040516,0.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,30096.051030000002
t32,932.3291603106586,15287.963495904813,0.0,0.0,0.0,0.0,2360.0,20.0,9.004,455.49571496,0.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,33230.5927
