Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
t68,6879.949465124322,0.0,9.094947017729282e-13,0.0,3572.960502497511,0.0,0.0,796.6603150940905,3100.1587684635306,0.0,554.7127111919363,998.501538351454,865.6702987958371,16768.61359951868
t69,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,249.70602054611118,0.0,1082.1722144936311,682.0581786121024,865.6702987958371,14129.176995163603
t70,6879.949465124322,0.0,-9.094947017729282e-13,0.0,3572.960502497511,-4.547473508864641e-13,0.0,796.6603150940905,4114.058168500222,0.0,1093.2063189170303,859.5687904269248,468.8422328833606,17785.24579344346
t71,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,4004.491912196562,0.0,1719.4022678942706,1598.8924068935175,72.01416697088416,18644.371036671153
t72,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,2726.070141104332,0.0,3136.1315824879343,2095.893540018922,865.6702987958371,20073.335845122947
t73,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,4704.2750960682,0.0,3205.113476675952,2096.8454609525643,0.0,21255.80431641264
t74,6879.949465124322,0.0,1206.501101753367,0.0,3572.960502497511,103.28960954926697,0.0,796.6603150940905,4270.938868271749,0.0,4246.698549413191,2653.0579130946544,865.6702987958371,24595.72662359399
t75,6879.949465124322,0.0,-2.842170943040401e-14,0.0,3572.960502497511,-1.4210854715202004e-14,0.0,796.6603150940905,0.0,0.0,0.0,0.0,0.0,11249.570282715922
t76,6879.949465124322,0.0,1297.2932861882773,0.0,3572.960502497511,2801.3816324632767,0.0,796.6603150940905,7470.314079749809,0.0,2159.0460887376007,518.9181694401595,22.26393635873808,25518.787475653782
t77,6879.949465124322,0.0,9.094947017729282e-13,0.0,3572.960502497511,4.547473508864641e-13,0.0,796.6603150940905,6417.563486179284,0.0,1929.0531526993423,1593.0135153283163,865.6702987958371,22054.870735718705
t78,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,8601.301408715955,0.0,2654.6596146052498,1894.3861770867056,0.0,24399.917483123834
t79,6879.949465124322,0.0,0.0,-1.7763568394002505e-15,3572.960502497511,754.9447755842295,0.0,796.6603150940905,6743.999612897685,0.0,1202.8176636944368,1019.9027445840813,865.6702987958371,21836.905378272193
t80,6879.949465124322,0.0,9.094947017729282e-13,0.0,3572.960502497511,537.2378698999289,0.0,796.6603150940905,6280.837377111915,0.0,2744.5156846291443,1542.9932850076834,806.6491313790432,23161.803630743638
t81,6879.949465124322,0.0,2566.6517024913846,-9.094947017729282e-13,3572.960502497511,585.5829235456206,-2.2737367544323206e-13,796.6603150940905,7140.744368460974,0.0,1723.9180895685222,1451.4314800210004,0.0,24717.898846803426
