Resource,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery,Total
t27,9733.872061941627,0.0,24983.033050698934,0.0,0.0,7021.847823450854,41738.75293609141
t28,9733.872061941627,0.0,24970.060348602557,0.0,0.0,7021.847823450854,41725.780233995036
t29,9733.872061941627,0.0,25021.988955194276,0.0,0.0,7018.706456029194,41774.567473165094
t30,9733.872061941627,0.0,24930.350128840917,0.0,0.0,7021.847823450854,41686.070014233395
t31,9733.872061941627,0.0,24666.662734411064,0.0,0.0,7021.847823450854,41422.38261980354
t32,9733.872061941627,1428.8479388053754,24556.14416047422,0.0,0.0,7014.825975627403,42733.69013684863
t33,9733.872061941627,9973.142945705813,24299.99901773707,0.0,0.0,7019.213109319524,51026.22713470404
t34,9733.872061941627,14363.221006769296,23254.94215894209,0.0,0.0,7021.847823450854,54373.88305110386
t35,9733.872061941627,11013.693502224352,22902.709618552628,0.0,0.0,7018.628969465927,50668.904152184536
t36,9733.872061941627,6936.105212498098,23345.39317066908,0.0,0.0,7014.825975627403,47030.19642073621
t37,9733.872061941627,5197.71580731838,23609.852123743436,0.0,0.0,7014.825975627403,45556.26596863085
t38,9733.872061941627,4696.353764504761,23608.606123758218,0.0,0.0,7021.847823450854,45060.67977365546
t39,9733.872061941627,5037.923489386772,22880.829696074357,0.0,0.0,7021.550868103751,44674.17611550651
t40,9733.872061941627,2653.487565520513,21170.374856959254,0.0,0.0,7014.825975627403,40572.5604600488
t41,9733.872061941627,0.0,23282.440089632124,0.0,0.0,7014.825975627403,40031.13812720116
t42,9733.872061941627,0.0,24121.303634693046,0.0,0.0,7021.846624081017,40877.02232071569
t43,9733.872061941627,0.0,24109.390534491384,0.0,0.0,7014.825975627403,40858.08857206041
t44,9733.872061941627,0.0,23688.21358926319,0.0,0.0,7021.847823450854,40443.93347465567
t45,9733.872061941627,0.0,23072.446108195996,0.0,0.0,7021.847823450854,39828.165993588475
t46,9733.872061941627,0.0,22473.19616874479,0.0,0.0,7021.847823450854,39228.91605413727
t47,9733.872061941627,0.0,21521.492028102723,0.0,0.0,7014.825975627403,38270.190065671755
t48,9733.872061941627,0.0,19974.678143731042,0.0,0.0,7014.825975627403,36723.376181300075
t49,9733.872061941627,0.0,18308.151680435883,0.0,0.0,7021.791638618426,35063.81538099593
t50,9733.872061941627,0.0,16796.77823746516,0.0,0.0,7014.825975627403,33545.47627503419
t51,9733.872061941627,0.0,16090.991329220607,0.0,0.0,7020.994948752953,32845.85833991519
t52,9733.872061941627,0.0,16484.184047403258,0.0,0.0,7021.199741905196,33239.255851250084
t53,9733.872061941627,0.0,17394.792399002297,0.0,0.0,7021.499501840932,34150.163962784856
t54,9733.872061941627,0.0,17765.345091011324,0.0,0.0,7017.259623628202,34516.476776581156
t55,9733.872061941627,0.0,18249.620164544773,0.0,0.0,7020.437343565427,35003.92957005183
t56,9733.872061941627,1445.202753281286,19174.021893449422,0.0,0.0,7014.825975627403,37367.92268429974
t57,9733.872061941627,10000.407891798588,18926.436560826136,0.0,0.0,7015.759608694183,45676.47612326054
t58,9733.872061941627,15123.024533495876,16142.793096114752,0.0,0.0,7018.285480887224,48017.975172439474
t59,9733.872061941627,12658.743615688238,17145.234862573077,0.0,0.0,7021.637044650933,46559.48758485387
t60,9733.872061941627,10813.43566189833,18510.894491825446,0.0,0.0,7016.199029500039,46074.401245165434
t61,9733.872061941627,11268.013436185269,19666.116133260864,0.0,0.0,7021.847823450854,47689.84945483861
t62,9733.872061941627,12537.42745270704,20688.691335506694,0.0,0.0,7021.847823450854,49981.83867360621
