,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1373,9962.923812989122,3318.3907762896647,-3703.457047161189,0.0,-0.0,0.0,0.0,0.0,0.0,-9577.857542117597
t1374,12093.032945483596,2756.128885906593,-4265.71893754426,0.0,-0.0,0.0,0.0,0.0,0.0,-10583.442893845928
t1375,8071.974932059593,5705.766982900039,-1316.080840550815,0.0,-0.0,0.0,0.0,0.0,0.0,-12461.661074408816
t1376,16823.125557133088,1868.332834457151,-5153.514988993702,0.0,-0.0,0.0,0.0,0.0,0.0,-13537.943402596538
t1377,18278.23443280459,1336.5140553261278,-5685.333768124726,0.0,-0.0,0.0,0.0,0.0,0.0,-13929.414720005994
t1378,18648.182125492818,1293.4617512773575,-5728.386072173496,0.0,-0.0,0.0,0.0,0.0,0.0,-14213.257804596678
t1379,18807.982516956068,1372.365957891077,-5649.481865559776,0.0,-0.0,0.0,0.0,0.0,0.0,-14530.866609287366
t1380,18858.12416527884,1413.2438058000157,-5608.604017650838,0.0,-0.0,0.0,0.0,0.0,0.0,-14662.763953428019
t1381,18952.661274423142,1379.6925750184928,-5642.155248432361,0.0,-0.0,0.0,0.0,0.0,0.0,-14690.198601009275
t1382,19079.575968384637,1360.552735669004,-5661.295087781849,0.0,-0.0,0.0,0.0,0.0,0.0,-14778.833616271793
t1383,17620.97926247585,2069.275102937457,-4952.572720513396,0.0,-0.0,0.0,0.0,0.0,0.0,-14737.681644899909
t1384,15266.952203334693,3218.853984926778,-3802.9938385240757,0.0,-0.0,0.0,0.0,0.0,0.0,-14682.812349737396
t1385,15339.759537300335,3218.853984926778,-3802.9938385240757,0.0,-0.0,0.0,0.0,0.0,0.0,-14755.619683703038
t1386,7798.137764192821,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14819.985587643676
