Resource,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery,Total
t468,0.0,0.0,0.0,0.0,0.0,3404.2438683762743,3404.2438683762743
t469,0.0,0.0,0.0,0.0,0.0,2967.5277470937676,2967.5277470937676
t470,0.0,0.0,0.0,0.0,0.0,6085.456247737518,6085.456247737518
t471,0.0,0.0,0.0,0.0,0.0,3802.9938385240757,3802.9938385240757
t472,0.0,0.0,0.0,0.0,0.0,145.42661416646928,145.42661416646928
t473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t474,0.0,0.0,0.0,0.0,0.0,4997.708465007586,4997.708465007586
t475,0.0,0.0,0.0,0.0,0.0,4004.0302324901286,4004.0302324901286
t476,0.0,0.0,0.0,0.0,0.0,3754.7858997361122,3754.7858997361122
t477,0.0,0.0,0.0,0.0,0.0,3271.416383153892,3271.416383153892
t478,0.0,0.0,0.0,0.0,0.0,3693.109780187088,3693.109780187088
t479,0.0,0.0,0.0,0.0,0.0,4323.825880413603,4323.825880413603
t480,0.0,0.0,0.0,0.0,0.0,2696.5767668867943,2696.5767668867943
t481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t483,0.0,0.0,0.0,0.0,0.0,5734.2559013686905,5734.2559013686905
t484,0.0,0.0,0.0,0.0,0.0,1858.2969091553243,1858.2969091553243
t485,0.0,0.0,0.0,0.0,0.0,5761.219094358001,5761.219094358001
t486,0.0,0.0,0.0,0.0,0.0,1831.1461461278273,1831.1461461278273
t487,0.0,0.0,0.0,0.0,0.0,5788.558732258733,5788.558732258733
t488,0.0,0.0,0.0,0.0,0.0,4934.638960139442,4934.638960139442
t489,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t490,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t491,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t492,0.0,0.0,0.0,0.0,0.0,3610.325705132106,3610.325705132106
t493,0.0,0.0,0.0,0.0,0.0,3519.0866190846837,3519.0866190846837
t494,0.0,0.0,0.0,0.0,0.0,3260.052741107919,3260.052741107919
t495,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t496,0.0,0.0,0.0,0.0,0.0,3423.943972792923,3423.943972792923
t497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t499,0.0,0.0,0.0,0.0,0.0,57.780330807249314,57.780330807249314
t500,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t502,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t503,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t504,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t505,0.0,0.0,0.0,0.0,0.0,6779.942137075883,6779.942137075883
t506,0.0,0.0,0.0,0.0,0.0,2596.743038924738,2596.743038924738
t507,0.0,0.0,0.0,0.0,0.0,3205.1939664499696,3205.1939664499696
t508,0.0,0.0,0.0,0.0,0.0,4404.952318403913,4404.952318403913
t509,0.0,0.0,0.0,0.0,0.0,3196.8478213929,3196.8478213929
t510,0.0,0.0,0.0,0.0,0.0,4413.356523600511,4413.356523600511
t511,0.0,0.0,0.0,0.0,0.0,3188.385152160152,3188.385152160152
t512,0.0,0.0,0.0,0.0,0.0,4421.878063575748,4421.878063575748
t513,0.0,0.0,0.0,0.0,0.0,5691.624585507584,5691.624585507584
t514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t515,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
