Resource,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery,Total
t89,0.0,0.0,9361.940865917346,0.0,0.0,6625.4534787667535,15987.3943446841
t90,0.0,0.0,12079.25830440167,0.0,0.0,5847.294759524591,17926.55306392626
t91,0.0,0.0,14744.270046179117,0.0,0.0,4483.288888635868,19227.558934814984
t92,0.0,0.0,14137.388098586594,0.0,0.0,4581.229862432129,18718.617961018725
t93,0.0,0.0,18981.846403425465,0.0,0.0,1847.0007100126943,20828.847113438158
t94,0.0,0.0,20515.587679571756,0.0,0.0,544.1300719395495,21059.717751511307
t95,0.0,0.0,11445.374527013882,0.0,0.0,4382.736648218485,15828.111175232367
t96,0.0,0.0,4938.152176549147,0.0,0.0,7021.847823450854,11960.0
t97,0.0,0.0,18171.847823450855,0.0,0.0,0.0,18171.847823450855
t98,0.0,0.0,11244.665187138897,0.0,0.0,3241.0913181559786,14485.756505294876
t99,0.0,0.0,4685.906550202143,0.0,0.0,6415.470636624355,11101.3771868265
t100,0.0,0.0,17511.847823450855,0.0,0.0,0.0,17511.847823450855
t101,0.0,0.0,17837.847823450855,0.0,0.0,0.0,17837.847823450855
t102,0.0,0.0,18854.847823450855,0.0,0.0,0.0,18854.847823450855
t103,0.0,0.0,20683.847823450855,0.0,0.0,0.0,20683.847823450855
t104,0.0,314.23914910618714,20620.30209368307,0.0,0.0,506.65329033079945,21441.194533120055
t105,0.0,2460.1249821750075,6962.306901568735,0.0,0.0,6437.707969853555,15860.139853597298
t106,0.0,3599.814710343964,18949.03311310689,0.0,0.0,0.0,22548.84782345085
t107,0.0,3088.3893531095337,5633.7628234396125,0.0,0.0,7021.847823450854,15744.0
t108,0.0,2926.906146355808,18476.413455025177,0.0,0.0,709.2641110349342,22112.58371241592
t109,0.0,3378.223942298744,15509.136168622648,0.0,0.0,1936.2438562647312,20823.60396718612
t110,0.0,3995.1756552687825,4650.976521280363,0.0,0.0,7021.847823450854,15668.0
t111,0.0,4858.6199624270885,3579.532214122059,0.0,0.0,7021.847823450854,15460.0
t112,0.0,2159.9846148778897,18973.92895984244,0.0,0.0,655.9671243652621,21789.880699085592
t113,0.0,0.0,9138.152176549147,0.0,0.0,7021.847823450854,16160.0
t114,0.0,0.0,23190.039440333578,0.0,0.0,412.90419155863754,23602.943631892216
t115,0.0,0.0,23267.09620026631,0.0,0.0,287.87581159227125,23554.972011858583
t116,0.0,0.0,23146.060902153797,0.0,0.0,98.89346064852856,23244.954362802324
t117,0.0,0.0,8614.152176549145,0.0,0.0,7021.847823450854,15636.0
t118,0.0,0.0,21558.847823450855,0.0,0.0,0.0,21558.847823450855
t119,0.0,0.0,14906.419560791892,0.0,0.0,2634.7141313294806,17541.133692121373
t120,0.0,0.0,4929.152176549147,0.0,0.0,7021.847823450854,11951.0
t121,0.0,0.0,4085.1521765491457,0.0,0.0,7021.847823450854,11107.0
t122,0.0,0.0,17703.847823450855,0.0,0.0,0.0,17703.847823450855
t123,0.0,0.0,3458.152176549147,0.0,0.0,7021.847823450854,10480.0
t124,0.0,0.0,12932.945824028917,0.0,0.0,2265.9509997109685,15198.896823739886
t125,0.0,0.0,17745.84782345085,0.0,0.0,0.0,17745.84782345085
t126,0.0,0.0,17464.674958730207,0.0,0.0,620.586432360323,18085.26139109053
t127,0.0,0.0,16933.34586947011,0.0,0.0,1798.7509769903704,18732.09684646048
t128,0.0,283.19734954733923,15002.94250404996,0.0,0.0,3218.853984926778,18504.993838524075
t129,0.0,1285.1055350579707,14234.034318539329,0.0,0.0,3218.853984926778,18737.993838524075
t130,0.0,2349.9652346034563,13232.174618993842,0.0,0.0,3218.853984926778,18800.993838524075
t131,0.0,3565.5990897690044,4430.553086780143,0.0,0.0,7021.847823450854,15018.0
t132,0.0,5029.27763051675,2901.8745460323958,0.0,0.0,7021.847823450854,14953.0
t133,0.0,7238.664182240401,3595.661807072572,0.0,0.0,5502.260917068941,16336.586906381914
t134,0.0,9385.99590769707,12392.851915753783,0.0,0.0,0.0,21778.84782345085
t135,0.0,11121.146804686725,0.0,0.0,0.0,5300.850509382064,16421.997314068787
t136,0.0,5026.5962330520315,16909.25159039882,0.0,0.0,0.0,21935.84782345085
t137,0.0,283.19734954733923,19875.036407174983,0.0,0.0,1352.8070333642663,21511.04079008659
t138,0.0,0.0,20527.030988993196,0.0,0.0,1633.4084172288276,22160.439406222024
t139,0.0,0.0,19923.05734812464,0.0,0.0,1859.395237663107,21782.452585787745
t140,0.0,0.0,18224.60364813312,0.0,0.0,2496.122087658866,20720.725735791988
t141,0.0,0.0,16120.648630994985,0.0,0.0,2560.407560378607,18681.05619137359
t142,1871.919825696958,0.0,12980.080174303042,0.0,0.0,0.0,14852.0
t143,4236.238639689312,0.0,9537.761360310687,0.0,0.0,0.0,13774.0
t144,6256.689969627303,0.0,6441.310030372698,0.0,0.0,0.0,12698.0
t145,7669.93467237224,0.0,4091.676672552273,0.0,0.0,98.38865507548621,11860.0
t146,7669.93467237224,0.0,2855.0802745070996,0.0,0.0,844.9850531206584,11369.999999999996
t147,7669.93467237224,0.0,2245.973224020732,0.0,0.0,1179.0921036070285,11095.0
t148,7669.93467237224,0.0,1955.2751606778545,0.0,0.0,1382.7901669499054,11008.0
t149,7669.93467237224,0.0,1809.6079159936864,0.0,0.0,1643.4574116340732,11123.0
t150,7669.93467237224,0.0,2023.8570329716863,0.0,0.0,1820.208294656072,11513.999999999998
t151,7669.93467237224,0.0,2368.8960753402384,0.0,0.0,2205.1692522875214,12244.0
t152,7669.93467237224,283.19734954733923,2675.4671006943177,0.0,0.0,2350.400877386101,12978.999999999998
t153,7669.93467237224,976.8309186095398,3174.5555182399207,0.0,0.0,1989.6788907782982,13810.999999999998
t154,7669.93467237224,1933.1081099020425,2502.9975788946144,0.0,0.0,2358.9596388311033,14465.0
t155,7669.93467237224,2848.075473734485,1946.5070677647584,0.0,0.0,2276.4827861285175,14741.0
