Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Total
t19,106.06199999999998,374.6295938666667,108.26219576240159,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,6.981900000000001,27.248000000000005,31.56870313091628,0.0,3488.704,35.2,434.0,124.9,0.0,0.0,0.0,13.560520000000002,24.95,211.73247900000004,0.0,1114.1,163.5,0.0,0.0,0.044840000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13477.399703906292
t20,106.06199999999998,429.6571828666667,781.7727639377351,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,37.187803130916286,0.0,3488.704,35.2,434.0,124.9,0.0,0.0,0.0,0.0,24.95,238.94070900000003,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14218.177931081626
t21,106.06199999999998,421.8560829,866.8728709836131,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,31.86271530362557,0.0,3488.704,35.2,434.0,124.9,0.0,0.0,0.0,0.0,24.95,228.81137999999993,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14280.022521333543
t22,106.06199999999998,366.8284939,101.39604313075617,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,26.24361530362557,0.0,3488.704,35.2,434.0,124.9,0.0,0.0,0.0,0.0,24.95,201.6031499999999,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13426.690774480689
t23,106.06199999999998,311.80090490000003,0.0,6504.242957565575,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,20.62451530362557,0.0,3488.704,16.403200000000002,53.815999999999995,124.9,0.0,0.0,0.0,0.0,24.95,184.327563,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,94.61999992544,27.029999988770005,26.51000001168,12423.494612841398
t24,106.06199999999998,311.60201,0.0,5482.8909933575615,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,15.005415303625572,0.0,3488.704,16.403200000000002,53.815999999999995,124.9,0.0,0.0,0.0,0.0,24.95,184.29478200000003,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,200.13999999728,108.39000004998,0.0,11556.661872854755
t25,106.06199999999998,256.574421,0.0,4566.7349113828395,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,12.185999999999998,0.0,3488.704,16.403200000000002,53.815999999999995,124.9,0.0,0.0,0.0,0.0,24.95,158.98785,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,0.0,48.57000000191999,10297.391854531066
t26,106.06199999999998,201.546832,0.0,4615.130586912706,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,12.185999999999998,0.0,3488.704,16.403200000000002,53.815999999999995,124.9,0.0,0.0,0.0,0.0,24.95,131.77962000000002,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,327.31999990447997,0.0,0.0,10542.301710963491
t27,106.06199999999998,192.79545639999998,0.0,4123.848882435622,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,12.185999999999998,0.0,3488.704,16.403200000000002,53.815999999999995,124.9,0.0,0.0,0.0,0.0,24.95,145.44929699999994,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9728.618307981928
t28,106.06199999999998,247.82304539999998,0.0,4073.874320025409,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,13.925005627535551,0.0,3488.704,16.403200000000002,53.815999999999995,124.9,0.0,0.0,0.0,0.0,24.95,156.824304,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9746.785347199251
