Resource,NGCC,NGCT,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR
t62,92.54416960075342,63.87417103967355,0.010838294015997008,0.0,1.6,0.19500000000000003,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
t63,25.449646640207195,63.87417103967355,0.010838294015997008,0.0,1.6,0.19500000000000003,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
t64,25.449646640207195,72.88463403900055,0.01693483440000091,0.0,1.6,0.19500000000000003,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
t65,25.449646640207195,72.88463403900055,0.01693483440000091,0.0,1.6,0.19500000000000003,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
t66,25.449646640207195,80.09300443846213,0.01693483440000091,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,15.580520569925683,0.0,0.0,26.460000000000008
t67,25.449646640207195,80.09300443846213,0.006096540384000327,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,3.3689436939256847,0.0,0.0,26.460000000000008
t68,25.449646640207195,23.427203798250172,0.006096540384000327,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,3.3689436939256847,0.0,0.0,26.460000000000008
t69,84.74212304626381,23.427203798250172,0.006096540384000327,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t70,84.74212304626381,23.427203798250172,0.006096540384000327,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t71,84.74212304626381,23.427203798250172,0.0,0.0,1.6,0.004999999999999982,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t72,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.004999999999999982,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t73,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.004999999999999977,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t74,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.004999999999999977,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t75,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t76,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t77,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t78,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t79,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.19500000000000003,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t80,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.19500000000000003,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t81,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.19500000000000003,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t82,84.74212304626381,21.995483652000004,0.0,0.0,1.6,0.19500000000000003,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t83,84.74212304626381,38.214317050788594,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t84,84.74212304626381,38.214317050788594,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t85,84.74212304626381,38.214317050788594,0.0,0.0,1.6,0.18,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t86,84.74212304626381,58.09752078646213,0.0,0.0,1.6,0.18,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t87,84.74212304626381,58.09752078646213,0.0,0.0,1.6,0.18,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t88,84.74212304626381,58.09752078646213,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t89,84.74212304626381,80.09300443846213,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t90,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.18,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t91,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.18,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t92,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.18,0.0,0.0,0.0,0.0,0.0,7.01863269567851,0.0,0.0,26.460000000000008
t93,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,13.673503978278507,0.0,0.0,26.460000000000008
t94,84.74212304626381,63.87417103967354,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,13.673503978278507,0.0,0.0,26.460000000000008
t95,84.74212304626381,38.214317050788594,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,13.673503978278507,0.0,0.0,26.460000000000008
t96,84.74212304626381,38.214317050788594,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,6.6548712825999985,0.0,0.0,26.460000000000008
t97,84.74212304626381,38.214317050788594,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,6.6548712825999985,0.0,0.0,26.460000000000008
t98,84.74212304626381,25.234833374999997,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
t99,84.74212304626381,25.234833374999997,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
t100,84.74212304626381,25.234833374999997,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
