region,cluster,Resource,Resource_Type,MGA,R_ID,Zone,THERM,STOR,LDS,FLEX,HYDRO,Commit,MUST_RUN,VRE,Num_VRE_Bins,Min_Cap_MW,Max_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Existing_Cap_MW,Fuel,Reg_MAX,Rsv_Max,New_Build,Existing_Cap_MWh,Existing_Charge_Cap_MW,Heat_Rate_MMBTU_per_MWh,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Min_Power
AREA_7,1,z6_coal,coal,1,19,6,1,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,18760,0,0,0,0,0,0,0,0,622,coal,0,0,1,0,0,2.7,1,1,0,0,0
AREA_1,1,z1_solar,solar,1,20,1,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,122976,0,0,0,0,5.37,0,0,0,7,None,0,0,1,0,0,0,1,1,0,0,0
AREA_1,1,z1_wind,wind,1,21,1,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,1674,None,0,0,1,0,0,0,1,1,0,0,0
AREA_3,1,z3_solar,solar,1,22,3,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,40113,0,0,0,0,0,0,0,0,100,None,0,0,1,0,0,0,1,1,0,0,0
AREA_3,1,z3_wind,wind,1,23,3,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,40113,0,0,0,0,0,0,0,0,2442,None,0,0,1,0,0,0,1,1,0,0,0
AREA_4,1,z4_solar,solar,1,24,4,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,40113,0,0,0,0,0,0,0,0,190,None,0,0,1,0,0,0,1,1,0,0,0
AREA_4,1,z4_wind,wind,1,25,4,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,40113,0,0,0,0,0,0,0,0,8730,None,0,0,1,0,0,0,1,1,0,0,0
AREA_5,1,z5_solar,wind,1,26,5,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,40113,0,0,0,0,0,0,0,0,127.5,None,0,0,1,0,0,0,1,1,0,0,0
AREA_6,1,z7_solar,solar,1,27,7,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,40113,0,0,0,0,0,0,0,0,139,None,0,0,1,0,0,0,1,1,0,0,0
AREA_6,1,z7_wind,wind,1,28,7,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,40113,0,0,0,0,0,0,0,0,99.8,None,0,0,1,0,0,0,1,1,0,0,0
AREA_7,1,z6_wind,wind,1,29,6,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,40113,0,0,0,0,0,0,0,0,3562.2,None,0,0,1,0,0,0,1,1,0,0,0
AREA_8,1,z8_solar,solar,1,30,8,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,40113,0,0,0,0,0,0,0,0,10,None,0,0,1,0,0,0,1,1,0,0,0
