Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2313.3514313726696,1251.7835722329717,89.22191919199834,3654.3569227976395
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2229.2096023877302,1369.8993998985218,48.32209661611695,3647.431098902369
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2842.1529868415573,1550.6001658121932,48.32209661611695,4441.0752492698675
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.089238755299,2613.6519679582852,0.0,6747.741206713585
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2998.2099649495167,2613.6519679582852,89.22191919199834,5701.0838520998
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3262.737715262835,2269.073003688266,55.744370656352515,5587.555089607454
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1688.5383727374167,1092.6115444134107,48.32209661611695,2829.4720137669447
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.6331844645613,285.1389527111019,48.32209661611695,1465.0942337917802
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.2726370601387,1672.9861111103398,0.0,1951.2587481704786
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831.6846826386785,215.36676229957408,89.22191919199834,1136.273364130251
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2197.869547807723,541.5731622686577,55.74437065635252,2795.187080732733
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2826.730685311108,1012.0320232476461,48.32209661611695,3887.0848051748712
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2836.7078679207766,1316.5352880187916,48.32209661611695,4201.565252555685
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2919.2439210822417,1358.2690495631948,7.422274040235558,4284.935244685672
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3588.870178643512,2613.6519679582852,89.22191919199834,6291.744065793796
