Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,unmet,Total
t246,392.79900000000004,0.0,0.0,0.0,0.0,392.79900000000004
t247,439.329,0.0,0.0,0.0,0.0,439.329
t248,494.47200000000004,0.0,0.0,0.0,0.0,494.47200000000004
t249,537.3720000000001,0.0,0.0,0.0,0.0,537.3720000000001
t250,573.243,0.0,0.0,0.0,0.0,573.243
t251,608.553,0.0,0.0,0.0,0.0,608.553
t252,636.207,0.0,0.0,0.0,0.0,636.207
t253,650.9580000000001,0.0,0.0,0.0,0.0,650.9580000000001
t254,667.029,0.0,0.0,0.0,0.0,667.029
t255,677.985,0.0,0.0,0.0,0.0,677.985
t256,684.948,0.0,0.0,0.0,0.0,684.948
t257,689.898,0.0,0.0,0.0,0.0,689.898
t258,684.255,0.0,0.0,0.0,0.0,684.255
t259,665.0160000000001,0.0,0.0,0.0,0.0,665.0160000000001
t260,635.811,0.0,0.0,0.0,0.0,635.811
t261,691.1560000000002,0.0,0.0,0.0,0.0,691.1560000000002
t262,600.039,0.0,0.0,0.0,0.0,600.039
t263,544.1700000000001,0.0,0.0,0.0,0.0,544.1700000000001
t264,486.71700000000004,0.0,0.0,0.0,0.0,486.71700000000004
t265,442.332,0.0,0.0,0.0,0.0,442.332
t266,459.55200000000013,0.0,0.0,0.0,0.0,459.55200000000013
t267,396.528,0.0,0.0,0.0,0.0,396.528
t268,386.958,0.0,0.0,0.0,0.0,386.958
t269,474.7320000000001,0.0,0.0,0.0,0.0,474.7320000000001
t270,404.58000000000004,0.0,0.0,0.0,0.0,404.58000000000004
t271,448.14000000000004,0.0,0.0,0.0,0.0,448.14000000000004
t272,505.494,0.0,0.0,0.0,0.0,505.494
t273,551.892,0.0,0.0,0.0,0.0,551.892
t274,592.284,0.0,0.0,0.0,0.0,592.284
t275,628.32,0.0,0.0,0.0,0.0,628.32
t276,656.799,0.0,0.0,0.0,0.0,656.799
t277,677.589,0.0,0.0,0.0,0.0,677.589
t278,694.419,0.0,0.0,0.0,0.0,694.419
t279,700.392,0.0,0.0,0.0,0.0,700.392
t280,699.336,0.0,0.0,0.0,0.0,699.336
t281,694.749,0.0,0.0,0.0,0.0,694.749
t282,679.206,0.0,0.0,0.0,0.0,679.206
t283,651.354,0.0,0.0,0.0,0.0,651.354
t284,624.327,0.0,0.0,0.0,0.0,624.327
t285,614.097,0.0,0.0,0.0,0.0,614.097
t286,594.6600000000001,0.0,0.0,0.0,0.0,594.6600000000001
t287,545.193,0.0,0.0,0.0,0.0,545.193
t288,493.119,0.0,0.0,0.0,0.0,493.119
t289,452.43,0.0,0.0,0.0,0.0,452.43
t290,426.65700000000004,0.0,0.0,0.0,0.0,426.65700000000004
t291,409.66200000000003,0.0,0.0,0.0,0.0,409.66200000000003
t292,399.59700000000004,0.0,0.0,0.0,0.0,399.59700000000004
t293,396.69300000000004,0.0,0.0,0.0,0.0,396.69300000000004
t294,401.478,0.0,0.0,0.0,0.0,401.478
t295,418.04400000000004,0.0,0.0,0.0,0.0,418.04400000000004
t296,450.846,0.0,0.0,0.0,0.0,450.846
t297,495.132,0.0,0.0,0.0,0.0,495.132
t298,534.798,0.0,0.0,0.0,0.0,534.798
t299,564.333,0.0,0.0,0.0,0.0,564.333
t300,588.423,0.0,0.0,0.0,0.0,588.423
t301,606.969,0.0,0.0,0.0,0.0,606.969
t302,622.248,0.0,0.0,0.0,0.0,622.248
t303,637.032,0.0,0.0,0.0,0.0,637.032
t304,648.7470000000001,0.0,0.0,0.0,0.0,648.7470000000001
t305,656.568,0.0,0.0,0.0,0.0,656.568
t306,657.36,0.0,0.0,0.0,0.0,657.36
t307,644.787,0.0,0.0,0.0,0.0,644.787
t308,621.984,0.0,0.0,0.0,0.0,621.984
t309,611.49,0.0,0.0,0.0,0.0,611.49
t310,596.6070000000001,0.0,0.0,0.0,0.0,596.6070000000001
t311,814.7444035860381,0.0,0.0,0.0,0.0,814.7444035860381
t312,1299.5984638368827,0.0,0.0,0.0,0.0,1299.5984638368827
t313,460.02000000000004,0.0,0.0,0.0,0.0,460.02000000000004
t314,2515.5591725222976,0.0,0.0,0.0,0.0,2515.5591725222976
t315,2527.7591725222974,0.0,0.0,0.0,0.0,2527.7591725222974
t316,397.254,0.0,0.0,0.0,0.0,397.254
t317,389.796,0.0,0.0,0.0,0.0,389.796
t318,1972.6571729427296,0.0,0.0,0.0,0.0,1972.6571729427296
t319,1571.6608456408196,0.0,0.0,0.0,0.0,1571.6608456408196
t320,431.73900000000003,0.0,0.0,0.0,0.0,431.73900000000003
t321,1518.5608456408202,0.0,0.0,0.0,0.0,1518.5608456408202
t322,1488.5208456408202,0.0,0.0,0.0,0.0,1488.5208456408202
t323,1461.9408456408203,0.0,0.0,0.0,0.0,1461.9408456408203
t324,1440.5008456408202,0.0,0.0,0.0,0.0,1440.5008456408202
t325,1428.24084564082,0.0,0.0,0.0,0.0,1428.24084564082
t326,1425.8808456408203,0.0,0.0,0.0,0.0,1425.8808456408203
t327,1425.66084564082,0.0,0.0,0.0,0.0,1425.66084564082
t328,636.768,0.0,0.0,0.0,0.0,636.768
t329,637.956,0.0,0.0,0.0,0.0,637.956
t330,637.626,0.0,0.0,0.0,0.0,637.626
