BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1219,34690.459937638945,1380.3977023610603,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38430.85764
t1220,33719.74226583171,1376.6234341682982,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37456.3657
t1221,33249.52339,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35609.52339
t1222,31403.111169999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33763.11117
t1223,29885.72272000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32245.722720000005
t1224,35060.21707767706,0.0,-5992.045017677055,0.0,0.0,0.0,0.0,0.0,0.0,-31428.17206
t1225,28802.513760000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31162.51376
t1226,28842.34582,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31202.34582
t1227,29201.979000000003,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31561.979
t1228,30727.044800000007,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33087.0448
t1229,33643.99829000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36003.99829
t1230,32044.09366062245,4404.247589377549,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38808.34125
t1231,30385.18115205974,6139.994247940263,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38885.1754
t1232,33857.21278568252,2385.086134317489,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38602.29892
t1233,35528.3704,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37888.3704
t1234,34840.33912,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37200.33912
t1235,37857.927646142016,0.0,-3121.258546142013,0.0,0.0,0.0,0.0,0.0,0.0,-37096.6691
t1236,37383.32769840675,0.0,-3062.1590884067427,0.0,0.0,0.0,0.0,0.0,0.0,-36681.16861
t1237,36556.42069767605,0.0,-2424.907877676034,0.0,0.0,0.0,0.0,0.0,0.0,-36491.51282
t1238,39308.461822611076,0.0,-5439.6018626110745,0.0,0.0,0.0,0.0,0.0,0.0,-36228.85996
t1239,35935.852603479325,0.0,-1914.2059234793276,0.0,0.0,0.0,0.0,0.0,0.0,-36381.64668
t1240,34367.39857,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36727.39857
t1241,32829.70916643326,1912.3097335667455,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37102.0189
